10101111001010110100001111101000 00010001000101101100011101100000
01101111000110111010000010110101 11111110110111111011101101001111
10111011011010000000000110000110 11111101111101111010110111000011
11011000100110001000010001001100 10001010001001111010110111111011
01000100011011010001110101111000 10000100000000100010101101110000
00000000001101110101000100100011 01101011101100111000110100111100
01100000100001101101110110000011 01111011000000101100001111111000
11010101010101001101100010101110 01110000001011001010011100100101
11101111110100100010100100000100 01011010001011110011011111110010
11101011100001010011010010010001 01101100000000111010010100100110
11010101011011000000011110001000 00010110100101000100011000110100
11000011001111111110001011100011 00000001010011011110110001101001
10100110010001110101010100101110 01110110111001001100011000011001
10000101010001111100100111011010 10110011111011101000000101101100
10000111010111110100001100010011 11010001111101011111110101000101
00000110000110110000100000001001 01000010101101111001100000010011
01100001010001
01000001001100011100100010101000 11110011110010100010101010010110
11000110110100100100100110110000 11011001100011010010011110001100
00100111010010010011111101111101 00001000100000001100011101000100
11111001011100111100010110110100 00000100000100010110110101010011
10011000000110001011010100110110 10111001101111101000100001110001
11111010011000001111111011000011 11000010011001000101101010010111
10100110111110001011000011110000 10000010110000011001001011011101
00011101011011101101110101000100 10010010101101110011100000110000
11100101101001101100000010010011 11111111101110010001111011101100
00111000111100000001100011101010 01100101111011000100011111110111
11000001101111010001001010101001 00111001011000011100010101110101
01000000101111000001111000010101 01010101010101001100100110111100
01101001111011101010101000110111 11010010111000111100100001001000
01101101001110111001100110110010 01110011111100100010001110101110
00100011011010111000001101110000 00010110011100010101001111000001
11100110110110011000010000011101 10101101110000110001111001110101
01001010101000
00000110001111101101100100000000 00001111000110011000100001110011
00011011111001001011011100110011 01101111001110000001110101100001
11001111000101001111101111001001 10000001110000101011111011110011
10101100101101100110001100100100 10100010100011111010111101100001
10111110101110011000000110101101 00100001101101010111010111110001
00001101111001101011010101101111 10001011001111111010111101110111
01111001111000001011000110001101 01000100100110010001111010011011
10110110111101110000111001001100 11111110001110101110111100100000
00100111010001010000000001001011 00001010101101000000101001010111
01111101101110010101011001110000 01011010001101010110000001000110
00000010111111010010010110111000 01010000111100101100100110111100
01111001101101001110101100010000 11011100111111011100000110001111
00011000001101011000100010001101 11010011010110000101101010010011
00011100110000111011101010011001 01011000011100001101000010100011
10000000111100111110111101000111 11010001111000011001010010100110
