10000001001101111001000011100010 00011100000111000001110000011100 01010001100000
01100011111001001111010100011110 01100000011000000110000001100000 01000101000000
11101000001001110110010000010000 00110111001101110011011100110111 10011101100000
11100011100110010100000011101100 00101111001011110010111100101111 01110010000000
01010111110000110010010101011000 11000110110001101100011011000110 10001001110000
10101011000110011100110000010011 10010110100101101001011010010110 01100110100000
11000100001000010000101100001000 01111010011110100111101001111010 01110100110000
10001111000000100000000110010001 11011010110110101101101011011010 01100110010000
11011111001010000000001110100101 01110111011101110111011101110111 01110111110000
10011001001011001011110000111111 11110110111101101111011011110110 01100011100000
11110111011011111001010100110100 01001110010011100100111001001110 01111000000000
11000101101000001101101111000111 11111010111110101111101011111010 00100111000000
01100101000110101101001101100101 01100001011000010110000101100001 01100001000000
01010010000101111101111111000111 10011000100110001001100010011000 10000101100000
01110000010111001101100001000110 00000001000000010000000100000001 01000101010000
10011101111001011100100111100101 01100010011000100110001001100010 01010011000000
01000100111001101111010010100110 00011001000110010001100100011001 01100001110000
01100011001111000111110000101110 00001101000011010000110100001101 01001001000000
10000111000010100000001001010100 11101000111010001110100011101000 01011001010000
00010100101001101010001010011010 00100000001000000010000000100000 01000110000000
00011101110001001111101000111110 11000011110000111100001111000011 01001111100000
10010100001101100111000010000111 01011001010110010101100101011001 01100100000000
11001011100010000100100000001011 01010011010100110101001101010011 10001010000000
01011000001000111011000100111010 01110101011101010111010101110101 00011100110000
01011000111001001101001010100010 01010010010100100101001001010010 01100001000000
00001111011011111101110101000100 00100011001000110010001100100011 01011011110000
11111110101110011110110010100110 11001110110011101100111011001110 00100110010000
11000000011110110010111111101011 10100101101001011010010110100101 01010111100000
01001111001101100001100100101011 00101010001010100010101000101010 01010011000000
01000101101000010000000001010100 10100100101001001010010010100100 01011011100000
10111000000100110110000111000010 01110111011101110111011101110111 01010011100000
00011010010101000101111011000000 00110001001100010011000100110001 00111010000000
10110000011011100010110101010111 01111110011111100111111001111110 00100011000000
00011100001011111011001101110010 11001011110010111100101111001011 01100011100000
11011101100001000100000000101011 00101110001011100010111000101110 01011111110000
01111101001100101100010110111000 00110110001101100011011000110110 00111010100000
00101011000111000000111110111111 10001011100010111000101110001011 01011001000000
01100000010010010101010010001010 10000110100001101000011010000110 01011000000000
00011001000110001001100100110000 01001001010010010100100101001001 01010100010000
10011101011010110011101001111000 00111001001110010011100100111001 01011011010000
01111110100111100100000110100110 01111000011110000111100001111000 00101111010000
01101110001001110111010101011010 10100111101001111010011110100111 00110100110000
00000110010101000010111011000000 10101011101010111010101110101011 10000111010000
01001111011011100110001100001101 00111111001111110011111100111111 00111101100000
00111111100010010001000101111101 10111111101111111011111110111111 01101001110000
01001100110001111001111100101100 11100011111000111110001111100011 01000011100000
11101101010000110111101010011101 01101011011010110110101101101011 01001111000000
11110110110000011001110001100100 01000000010000000100000001000000 01111111010000
11000100100111111111010111000000 00110111001101110011011100110111 01000100100000
01000110011101011000000000110101 11101101111011011110110111101101 00111111110000
